pe_code,title
0305192N,Military Intelligence Program (MIP) Activities
0305202F,Dragon U-2
0305204N,Tactical Unmanned Aerial Vehicles
0305205F,Endurance Unmanned Aerial Vehicles
0305205N,UAS Integration and Interoperability
0305206F,Airborne Reconnaissance Systems
0305207F,Manned Reconnaissance Systems
0305208F,Distributed Common Ground/Surface Systems
0305208K,Distributed Common Ground/Surface Systems
0305208M,Distributed Common Ground/Surface Systems
0305219A,MQ-1 Gray Eagle UAV
0305220F,RQ-4 UAV
0305220N,MQ-4C Triton
0305221F,Network-Centric Collaborative Targeting
0305231N,MQ-8 UAV
0305232M,RQ-11 UAV
0305234N,Small (Level 0) Tactical UAS (STUASL0)
0305236F,Common Data Link Executive Agent (CDL EA)
0305238F,NATO AGS
0305240F,ISR Transport and Processing
0305241N,Multi-Intelligence Sensor Development
0305242M,Unmanned Aerial Systems (UAS) Payloads (MIP)
0305248J,Joint Staff Office of the Chief Data Officer (OCDO) Activities
0305249F,AF JWICS Enterprise
0305251A,Cyberspace Operations Forces and Force Support
0305251N,Cyberspace Operations Forces and Force Support
0305282F,Joint Fires Network (JFN)
0305327N,Insider Threat
0305327V,Insider Threat
0305421N,MQ-4C Triton Modernization
0305600F,International Intelligence Technology and Architectures
0305601F,Mission Partner Environments
0305836F,C2IMERA
0305881F,Rapid Cyber Acquisition
0305903F,COCOM Mobile Command and Control Centers (MCCCs)
0305984F,Personnel Recovery Command & Ctrl (PRC2)
0307577F,Intelligence Mission Data (IMD)
0307577N,Intelligence Mission Data (IMD)
0307609V,National Industrial Security Systems (NISS)
0308601N,Modeling and Simulation Support
0308602F,ENTEPRISE INFORMATION SERVICES (EIS)
0401115F,C-130 Airlift Squadron
0401119F,C-5 Airlift Squadrons (IF)
0401130F,C-17 Aircraft (IF)
0401132F,C-130J Program
0401134F,Large Aircraft IR Countermeasures (LAIRCM)
0401218F,KC-135s
0401221F,KC-46A Tanker Squadrons
0401318F,CV-22
0401319F,VC-25B
0408011F,Special Tactics / Combat Control
0408042N,National Defense Sealift Fund
0601103A,University Research Initiatives
0601103F,University Research Initiatives
0601104A,University and Industry Research Centers
0601117E,Basic Operational Medical Research Science
0601122E,Emerging Opportunities
0601153N,Defense Research Sciences
0602002A,Army Agile Innovation and Development-Applied Research
0602020F,Future AF Capabilities Applied Research
0602022F,University Affiliated Research Center (UARC) - Tactical Autonomy
0602023E,Access and Awareness
0602024E,Warfighting Performance
0602025E,Making, Maintaining, Supply Chain and Logistics
0602026E,Effects
0602102F,Materials
0602114N,Power Projection Applied Research
0602115E,Biomedical Technology
0602123N,Force Protection Applied Research
0602131M,Marine Corps Landing Force Technology
0602134A,Counter Improvised-Threat Advanced Studies
0602141A,Lethality Technology
0602142A,Army Applied Research
0602144A,Ground Technology
0602145A,Next Generation Combat Vehicle Technology
0602147A,Long Range Precision Fires Technology
0602148A,Future Verticle Lift Technology
0602180A,Artificial Intelligence and Machine Learning Technologies
0602181A,All Domain Convergence Applied Research
0602182A,C3I Applied Research
0602183A,Air Platform Applied Research
0602202F,Human Effectiveness Applied Research
0602203F,Aerospace Systems Technologies
0602204F,Aerospace Sensors
0602212F,Defense Laboratories R&D Projects (10 U.S.C, Sec 2358)
0602213A,C3I Applied Cyber
0602235N,Common Picture Applied Research
0602236N,Warfighter Sustainment Applied Research
0602271N,Electromagnetic Systems Applied Research
0602275A,Electronic Warfare Applied Research
0602276A,Electronic Warfare Cyber Applied Research
0602298F,Science and Technology Management -  Major Headquarters Activities
0602345A,Unmanned Aerial Systems Launched Effects Applied Research
0602386A,Biotechnology for Materials - Applied Research
0602435N,Ocean Warfighting Environment Applied Research
0602605F,Directed Energy Technology
0602651M,Joint Non-Lethal Weapons Applied Research
0602702E,Tactical Technology
0602716E,Electronics Technology
0602747N,Undersea Warfare Applied Research
0602750N,Future Naval Capabilities Applied Research
0602782N,Mine and Expeditionary Warfare Applied Research
0602787A,Medical Technology
0602788F,Dominant Information Sciences and Methods
0602792N,Innovative Naval Prototypes (INP) Applied Research
0602861N,Science and Technology Management - ONR Field Acitivities
0603002A,Medical Advanced Technology
0603007A,Manpower, Personnel and Training Advanced Technology
0603025A,Army Agile Innovation and Demonstration
0603032F,Future AF Integrated Technology Demos
0603040A,Artificial Intelligence and Machine Learning Advanced Technologies
0603041A,All Domain Convergence Advanced Technology
0603042A,C3I Advanced Technology
0603043A,Air Platform Advanced Technology
0603044A,Soldier Advanced Technology
0603112F,Advanced Materials for Weapon Systems
0603116A,Lethality Advanced Technology
0603117A,Army Advanced Technology Development
0603118A,Soldier Lethality Advanced Technology
0603119A,Ground Advanced Technology
0603123N,Force Protection Advanced Technology
0603134A,Counter Improvised-Threat Simulation
0603135A,Counter Small Unmanned Aerial Systems (C-SUAS) Advanced Technology
0603176C,Advanced Concepts and Performance Assessment
0603180C,Advanced Research
0603199F,Sustainment Science and Technology (S&T)
0603203F,Advanced Aerospace Sensors
0603207N,Air/Ocean Tactical Applications
0603211F,Aerospace Technology Dev/Demo
0603216F,Aerospace Propulsion and Power Technology
0603239N,Naval Construction Forces
0603250F,Adaptive Engine Transition Program
0603254N,ASW Systems Development
0603260F,Intelligence Advanced Development
0603261N,Tactical Airborne Reconnaissance
0603270A,Army Electronic Warfare Technology
0603270F,Electronic Combat Technology
0603271N,Electromagnetic Systems Advanced Technology
0603273F,Science & Technology for Nuclear Re-entry Systems
0603275A,Electronic Warfare Advanced Technology
0603276A,Electronic Warfare Cyber Advanced Technology
0603286E,Advanced Aerospace Systems
0603287E,Space Programs and Technology
0603305A,Army Missle Defense Systems Integration
0603327A,Air and Missile Defense Systems Engineering
0603345A,Unmanned Aerial Systems Launched Effects Advanced Technology Development
0603382N,Advanced Combat Systems Technology
0603386A,Biotechnology for Materials - Advanced Research
0603456F,Human Effectiveness Advanced Technology Development
0603457A,C3I Cyber Advanced Development
0603461A,High Performance Computing Modernization Program
0603462A,Next Generation Combat Vehicle Advanced Technology
0603463A,Network C3I Advanced Technology
0603464A,Long Range Precision Fires Advanced Technology
0603465A,Future Vertical Lift Advanced Technology
0603466A,Air and Missile Defense Advanced Technology
0603467E,DARPA Advanced Technology Development
0603468E,Advanced Complex Systems
0603469E,Advanced Enabling Technologies
0603502N,Surface and Shallow Water Mine Countermeasures
0603512N,Carrier Systems Development
0603525N,PILOT FISH
0603527N,RETRACT LARCH
0603536N,RETRACT JUNIPER
0603542N,Radiological Control
0603553N,Surface ASW
0603561N,Advanced Submarine System Development
0603562N,Submarine Tactical Warfare Systems
0603563N,Ship Concept Advanced Design
0603564N,Ship Preliminary Design & Feasibility Studies
0603570N,Advanced Nuclear Power Systems
0603573N,Advanced Surface Machinery Systems
0603576N,CHALK EAGLE
0603581N,Littoral Combat Ship (LCS)
0603582N,Combat System Integration
0603595N,Ohio Replacement
0603596N,LCS Mission Modules
0603597N,Automated Test and Re-Test (ATRT)
0603598N,ATRT Enterprise Rapid Capability
0603599N,Frigate Development
0603601F,Conventional Weapons Technology
0603605F,Advanced Weapons Technology
0603619A,Landmine Warfare and Barrier - Adv Dev
0603635M,Marine Corps Ground Combat/Support System
0603639A,Tank and Medium Caliber Ammunition
0603640M,USMC Advanced Technology Demonstration (ATD)
0603645A,Armored System Modernization - Adv Dev
0603651M,Joint Non-Lethal Weapons Technology Development
0603654N,Joint Service Explosive Ordnance Development
0603673N,Future Naval Capabilities Advanced Technology Development
0603680F,Manufacturing Technology Program
0603680N,Manufacturing Technology Program
0603680S,Manufacturing Technology Program
0603713N,Ocean Engineering Technology Development
0603720S,Microelectronics Technology Development and Support
0603721N,Environmental Protection
0603724N,Navy Energy Program
0603725N,Facilities Improvement
0603729N,Warfighter Protection Advanced Technology
0603734N,CHALK CORAL
0603739E,Advanced Electronics Technologies
0603739N,Navy Logistic Productivity
0603742F,Combat Identification Technology
0603746N,RETRACT MAPLE
0603747A,Soldier Support and Survivability
0603748N,LINK PLUMERIA
0603751N,RETRACT ELM
0603758N,Navy Warfighting Experiments and Demonstrations
0603760E,Command, Control and Communications Systems
0603764M,LINK EVERGREEN
0603766E,Network-Centric Warfare Technology
0603766S,GPS III Follow-on
0603767E,Sensor Technology
0603774A,Night Vision Systems Advanced Development
0603778A,MLRS Product Improvement Program
0603779A,Environmental Quality Technology - Dem/Val
0603782N,Mine and Expeditionary Warfare Advanced Technology
0603788F,Battlespace Knowledge Development and Demonstration
0603790A,NATO Research and Development
0603790F,NATO Research and Development
0603790N,NATO Research and Development
0603795N,Land Attack Technology
0603801N,Innovative Naval Prototypes (INP) Advanced Technology Development
0603807A,Medical Systems - Adv Dev
0603827A,Soldier Systems - Advanced Development
0603829J,Joint Capability Experimentation
0603851F,Intercontinental Ballistic Missile - Dem/Val
0603851M,Joint Non-Lethal Weapons Testing
0603860D,Counter-UAS Defeat
0603860N,Joint Precision Approach and Landing Systems - Dem/Val
0603882C,Ballistic Missile Defense Midcourse Defense Segment
0603884C,Ballistic Missile Defense Sensors
0603890C,BMD Enabling Programs
0603891C,Special Programs - MDA
0603892C,AEGIS BMD
0603896C,Ballistic Missile Defense Command and Control, Battle Management and Communications (C2BMC)
0603898C,Ballistic Missile Defense Joint Warfighter Support
0603904C,Missile Defense Integration & Operations Center (MDIOC)
0603906C,Regarding Trench
0603907C,Sea Based X-Band Radar (SBX)
0603913C,Israeli Cooperative Programs
0603915C,Ballistic Missile Defense Targets
0603920A,Humanitarian Demining
0603925N,Directed Energy and Electric Weapon Systems
0604001F,NC3 Advanced Concepts
0604003F,Advanced Battle Management System (ABMS)
0604004F,Advanced Engine Development
0604005F,NC3 Commercial Development & Prototyping
0604007F,E-7
0604009F,AFWERX
0604010F,Next Generation Adaptive Propulsion
0604014N,F/A -18 Infrared Search and Track (IRST)
0604015F,Long Range Strike - Bomber
0604017A,Robotics Development
0604019A,Expanded Mission Area Missile (EMAM)
0604020A,Cross Functional Team (CFT) Advanced Development & Prototyping
0604025F,Rapid Defense Experimentation Reserve (RDER)
0604025M,Rapid Defense Experimentation Reserve (RDER)
0604027N,Digital Warfare Office
0604028N,Small and Medium Unmanned Undersea Vehicles
0604029N,Unmanned Undersea Vehicle Core Technologies
0604030N,Rapid Prototyping, Experimentation and Demonstration.
0604031N,Large Unmanned Undersea Vehicles
0604032F,Directed Energy Prototyping
0604033F,Hypersonics Prototyping
0604035A,Low Earth Orbit (LEO) Satellite Capability
0604036A,Multi-Domain Sensing System (MDSS) Adv Dev
0604037A,Tactical Intel Targeting Access Node (TITAN) Adv Dev
0604038N,Maritime Targeting Cell
0604100A,Analysis Of Alternatives
0604101A,Small Unmanned Aerial Vehicle (SUAV) (6.4)
0604102C,Guam Defense Development
0604103A,Electronic Warfare Planning and Management Tool (EWPMT)
0604114A,Lower Tier Air Missile Defense (LTAMD) Sensor
0604115A,Technology Maturation Initiatives
0604115C,Technology Maturation Initiatives
0604117A,Maneuver - Short Range Air Defense (M-SHORAD)
0604119A,Army Advanced Component Development & Prototyping
0604120A,Assured Positioning, Navigation and Timing (PNT)
0604121A,Synthetic Training Environment Refinement & Prototyping
0604127N,Surface Mine Countermeasures
0604130V,Enterprise Security System (ESS)
0604135A,Strategic Mid-Range Fires
0604181C,Hypersonic Defense
0604183F,Hypersonics Prototyping - Hypersonic Attack Cruise Missile (HACM)
0604200F,Future Advanced Weapon Analysis & Programs
0604201A,Aircraft Avionics
0604201F,PNT Resiliency, Mods, and Improvements
0604212M,Other Helo Development
0604212N,Other Helo Development
0604214M,AV-8B Aircraft - Eng Dev
0604215N,Standards Development
0604216N,Multi-Mission Helicopter Upgrade Development
0604221N,P-3 Modernization Program
0604222F,Nuclear Weapons Support
0604230N,Warfare Support System
0604231N,Command and Control Systems
0604233F,Specialized Undergraduate Flight Training
0604234N,Advanced Hawkeye
0604245M,H-1 Upgrades
0604251A,Army Autonomous Systems
0604252N,Navy Undersea AI
0604253F,AF Mission Data Fabric
0604254S,Space ISR Tasking
0604255D,Joint EW Interop
0604256A,Threat Simulator Development
0604256F,Threat Simulator Development
0604256N,Threat Simulator Development
0604257F,Advanced Technology and Sensors
0604258A,Target Systems Development
0604258N,Target Systems Development
0604261N,Acoustic Search Sensors
0604262N,V-22
0604264N,Air Crew Systems Development
0604269N,EA-18
0604270A,Electronic Warfare Development
0604270F,Electronic Warfare Development
0604270N,Electronic Warfare Development
0604272N,Tactical Air Directional Infrared Countermeasures (TADIRCM)
0604273M,Executive Helo Development
0604274N,Next Generation Jammer (NGJ)
0604280N,Joint Tactical Radio System - Navy (JTRS-Navy)
0604282N,Next Generation Jammer (NGJ) Increment II
0604283F,Battle Mgmt Com & Ctrl Sensor Development
0604286N,Navy Advanced Manufacturing
0604287F,Physical Security Equipment
0604288F,Survivable Airborne Operations Center (SAOC)
0604292N,Future Vertical Lift (Maritime Strike)
0604295M,Marine Aviation Demonstration/Validation
0604307N,Surface Combatant Combat System Engineering
0604317F,Technology Transfer
0604320M,Rapid Technology Capability Prototype
0604327F,Hard and Deeply Buried Target Defeat System (HDBTDS) Program
0604329N,Small Diameter Bomb (SDB)
0604331J,Rapid Prototyping Program
0604336F,Nuclear Delivery Systems Prototyping
0604366N,Standard Missile Improvements
0604373N,Airborne MCM
0604378N,Naval Integrated Fire Control - Counter Air Systems Engineering
0604386A,Biotechnology for Materials - Dem/Val
0604403A,Future Interceptor
0604419N,Advanced Sensors Application Program (ASAP)
0604445F,Wide Area Surveillance
0604454N,LX (R)
0604501N,Advanced Above Water Sensors
0604503N,Submarine SWFTS Modernization
0604504N,Air Control
0604512N,Shipboard Aviation Systems
0604516N,Ship Survivability
0604522N,Air and Missile Defense Radar (AMDR) System
0604530N,Advanced Arresting Gear (AAG)
0604531A,Counter - Small Unmanned Aircraft Systems Advanced Development
0604536N,Advanced Undersea Prototyping
0604541A,Unified Network Transport
0604558N,New Design SSN
0604562N,Submarine Tactical Warfare System
0604567N,Ship Contract Design/ Live Fire T&E
0604574N,Navy Tactical Computer Resources
0604601A,Infantry Support Weapons
0604601N,Mine Development
0604602F,Armament/Ordnance Development
0604604A,Medium Tactical Vehicles
0604604F,Submunitions
0604609F,Requirements Analysis & Concept Maturation
0604610N,Lightweight Torpedo Development
0604611A,JAVELIN
0604617F,Agile Combat Support
0604622A,Family of Heavy Tactical Vehicles
0604633A,Air Traffic Control
0604636N,Counter Unmanned Aircraft Systems (C-UAS)
0604642A,Light Tactical Wheeled Vehicles
0604645A,Armored Systems Modernization (ASM) - Eng Dev
0604654N,Joint Service Explosive Ordnance Development
0604657M,USMC Ground Combat/Supporting Arms Systems - Eng Dev
0604659N,Precision Strike Weapons Development Program
0604668F,Joint Transportation Management System (JTMS)
0604703N,Personnel, Training, Simulation, and Human Factors
0604706F,Life Support Systems
0604710A,Night Vision Systems - Eng Dev
0604713A,Combat Feeding, Clothing, and Equipment
0604715A,Non-System Training Devices - Eng Dev
0604721A,Network C3 Resilience
0604727N,Joint Standoff Weapon Systems
0604741A,Air Defense Command, Control and Intelligence - Eng Dev
0604742A,Constructive Simulation Systems Development
0604746A,Automatic Test Equipment Development
0604755N,Ship Self Defense (Detect & Control)
0604756N,Ship Self Defense (Engage: Hard Kill)
0604757N,Ship Self Defense (Engage: Soft Kill/EW)
0604759A,Major T&E Investment
0604759F,Major T&E Investment
0604759N,Major T&E Investment
0604760A,Distributive Interactive Simulations (DIS) - Eng Dev
0604761N,Intelligence Engineering
0604771N,Medical Development
0604776F,Deployment & Distribution Enterprise R&D
0604777N,Navigation/ID System
0604786N,Offensive Anti-Surface Warfare Weapon Development
0604798A,Brigade Analysis, Integration and Evaluation
0604804A,Logistics and Engineer Equipment - Eng Dev
0604805A,Command, Control, Communications Systems - Eng Dev
0604808A,Landmine Warfare/Barrier - Eng Dev
0604818A,Army Tactical Command & Control Hardware & Software
0604820A,Radar Development
0604822A,General Fund Enterprise Business System (GFEBS)
0604826J,Joint C5 Capability Development, Integration and interoperability Assessments
0604827A,Soldier Systems - Warrior Dem/Val
0604840F,F-35 C2D2
0604840M,F-35 C2D2
0604840N,F-35 C2D2
0604850N,SSN(X)
0604852A,Suite of Survivability Enhancement Systems - EMD
0604854A,Artillery Systems - EMD
0604858F,Tech Transition Program
0604860F,Operational Energy and Installation Resilience
0604873C,Long Range Discrimination Radar (LRDR)
0604874C,Improved Homeland Defense Interceptors
0604876C,Ballistic Missile Defense Terminal Defense Segment Test
0604878C,Aegis BMD Test
0604879C,Ballistic Missile Defense Sensor Test
0604880C,Land-Based SM-3 (LBSM3)
0604887C,Ballistic Missile Defense Midcourse Segment Test
0604932F,Long Range Standoff Weapon
0604933F,ICBM Fuze Modernization
0605001E,Mission Support
0605013A,Information Technology Development
0605013D,Trusted Microelectronics Transition
0605013M,Information Technology Development
0605013N,Information Technology Development
0605018A,Integrated Personnel and Pay System-Army (IPPS-A)
0605018F,AF Integrated Personnel and Pay System (AF-IPPS)
0605024A,Anti-Tamper Technology Support
0605024F,Anti-Tamper Technology Executive Agency
0605024N,Anti-Tamper Technology Support
0605030A,Joint Tactical Network Center (JTNC)
0605030F,Joint Tactical Network Center (JTNC)
0605031A,Joint Tactical Network (JTN)
0605031F,Joint Tactical Network (JTN)
0605035A,Common Infrared Countermeasures (CIRCM)
0605036A,Combating Weapons of Mass Destruction (CWMD)
0605037A,Evidence Collection and Detainee Processing
0605041A,Defensive CYBER Tool Development
0605042A,Tactical Network Radio Systems (Low-Tier)
0605047A,Contract Writing System
0605049A,Missile Warning System Modernization (MWSM)
0605051A,Aircraft Survivability Development
0605052A,Indirect Fire Protection Capability Inc 2 - Block 1
0605053A,Ground Robotics
0605054A,Emerging Technology Initiatives
0605056F,Open Architecture Management
0605057F,Next Generation Air-refueling System
0605080S,Defense Agency Initiatives (DAI) - Financial System
0605101F,RAND Project Air Force
0605103A,Rand Arroyo Center
0605117F,Foreign Materiel Acquisition and Exploitation
0605144A,Next Generation Load Device - Medium
0605148A,Tactical Intel Targeting Access Node (TITAN) EMD
0605152N,Studies and Analysis Support - Navy
0605154N,Center for Naval Analyses
0605164F,Air Refueling Capability Modernization
0605180N,TACAMO Modernization
0605203A,Army System Development & Demonstration
0605205A,Small Unmanned Aerial Vehicle (SUAV) (6.5)
0605206A,CI and HUMINT Equipment Program-Army (CIHEP-A)
0605210F,Cyber Mission Resilience
0605212M,CH-53K RDTE
0605215N,Mission Planning
0605216A,Joint Targeting Integrated Command and Coordination Suite (JTIC2S)
0605217N,Common Avionics
0605220N,Ship to Shore Connector (SSC)
0605223F,Advanced Pilot Training
0605224A,Multi-Domain Intelligence
0605229F,HH-60W
0605231A,Precision Strike Missile (PrSM)
0605232A,Hypersonics EMD
0605233A,Accessions Information Environment (AIE)
0605235A,Strategic Mid-Range Capability
0605236A,Integrated Tactical Communications
0605238F,Ground Based Strategic Deterrent EMD
0605241A,Future Long Range Assault Aircraft Development
0605242A,Theater SIGINT System (TSIGS)
0605244A,Joint Reduced Range Rocket (JR3)
0605247A,Spectrum Situational Awareness System (S2AS)
0605278F,HC/MC-130 Recap RDT&E
0605285N,Next Generation Fighter
0605296F,Microelectronics Secure Enclave
0605301A,Army Kwajalein Atoll
0605326A,Concepts Experimentation Program
0605327N,T-AO 205 Class
0605450A,Joint Air-to-Ground Missile (JAGM)
0605450M,Joint Air-to-Ground Missile (JAGM)
0605457A,Army Integrated Air and Missile Defense (AIAMD)
0605500N,Multi-mission Maritime Aircraft (MMA)
0605502A,Small Business Innovative Research
0605502C,Small Business Innovation Research - MDA
0605502E,Small Business Innovative Research
0605502F,Small Business Innovation Research
0605502N,Small Business Innovative Research
0605502S,Small Business Innovative Research
0605504N,Multi-Mission Maritime (MMA) Increment III
0605512N,MEDIUM UNMANNED SURFACE VEHICLES (MUSVs))
0605513N,Unmanned Surface Vehicle Enabling Capabilities
0605514M,GROUND BASED ANTI-SHIP MISSILE
0605516M,LONG RANGE FIRES
0605516N,Long Range Fires
0605518N,CONVENTIONAL PROMPT STRIKE (CPS)
0605520M,MARINE CORPS AIR DEFENSE WEAPONS SYSTEMS
0605531A,Counter - Small Unmanned Aircraft Systems Sys Dev & Demonstration
0605601A,Army Test Ranges and Facilities
0605602A,Army Technical Test Instrumentation and Targets
0605604A,Survivability/Lethality Analysis
0605606A,Aircraft Certification
0605611M,Marine Corps Assault Vehicles System Development & Demonstration
0605625A,Manned Ground Vehicle
0605706A,Materiel Systems Analysis
0605709A,Exploitation of Foreign Items
0605712A,Support of Operational Testing
0605712F,Initial Operational Test & Evaluation
0605716A,Army Evaluation Center
